Station_Name,Shinkansen_Line,Year,Prefecture,Distance_from_Tokyo_st,Company,Latitude,Longitude
Tokyo,Tokaido_Shinkansen,1964,Tokyo,0.0,JR_Central,35.6761919,139.6503106
Shinagawa,Tokaido_Shinkansen,2003,Tokyo,6.8,JR_Central,35.6091973,139.7303364
Shin-Yokohama,Tokaido_Shinkansen,1964,Kanagawa,28.8,JR_Central,35.5073994,139.6171658
Odawara,Tokaido_Shinkansen,1964,Kanagawa,83.9,JR_Central,35.2648307,139.1523086
Atami,Tokaido_Shinkansen,1964,Shizuoka,104.6,JR_Central,35.0963896,139.071784
Mishima,Tokaido_Shinkansen,1969,Shizuoka,120.7,JR_Central,35.1184912,138.9184977
Shin-Fuji,Tokaido_Shinkansen,1988,Shizuoka,146.2,JR_Central,35.141965,138.663603
Shizuoka,Tokaido_Shinkansen,1964,Shizuoka,180.2,JR_Central,34.9755668,138.3826773
Kakegawa,Tokaido_Shinkansen,1988,Shizuoka,229.3,JR_Central,34.768823,137.9984128
Hamamatsu,Tokaido_Shinkansen,1964,Shizuoka,257.1,JR_Central,34.7102752,137.7274159
Toyohashi,Tokaido_Shinkansen,1964,Aichi,293.6,JR_Central,34.7688528,137.3916837
Mikawa-Anjo,Tokaido_Shinkansen,1988,Aichi,336.3,JR_Central,34.97002800000001,137.061997
Nagoya,Tokaido_Shinkansen,1964,Aichi,336.0,JR_Central,35.18145060000001,136.9065571
Gifu-Hashima,Tokaido_Shinkansen,1964,Gifu,396.3,JR_Central,35.3199066,136.7033655
Maibara,Tokaido_Shinkansen,1964,Shiga,445.9,JR_Central,35.3154598,136.2839538
Kyoto,Tokaido_Shinkansen,1964,Kyoto,513.6,JR_Central,35.011564,135.7681489
Shin-Osaka,"Tokaido_Shinkansen,Sanyo_Shinkansen",1964,Osaka,552.6,JR_Central,34.7334658,135.5002547
Shin-Kobe,Sanyo_Shinkansen,1972,Hyogo,589.5,JR_West,34.7062884,135.1954675
Nishi-Akashi,Sanyo_Shinkansen,1972,Hyogo,612.3,JR_West,34.703191,134.89615
Himeji,Sanyo_Shinkansen,1972,Hyogo,644.3,JR_West,34.8154176,134.6855509
Aioi,Sanyo_Shinkansen,1972,Hyogo,665.0,JR_West,34.803968,134.4683474
Okayama,Sanyo_Shinkansen,1972,Okayama,732.9,JR_West,34.6555312,133.919795
Shin-Kurashiki,Sanyo_Shinkansen,1975,Okayama,758.1,JR_West,34.5992856,133.7687388
Fukuyama,Sanyo_Shinkansen,1975,Hiroshima,791.2,JR_West,34.4859845,133.3624239
Shin-Onomichi,Sanyo_Shinkansen,1988,Hiroshima,811.3,JR_West,34.430112,133.1903
Mihara,Sanyo_Shinkansen,1975,Hiroshima,822.8,JR_West,34.3974307,133.0787608
Higashi-Hiroshima,Sanyo_Shinkansen,1988,Hiroshima,862.4,JR_West,34.4267058,132.5019101
Hiroshima,Sanyo_Shinkansen,1975,Hiroshima,894.2,JR_West,34.3852894,132.4553055
Shin-Iwakuni,Sanyo_Shinkansen,1975,Yamaguchi,935.6,JR_West,34.1646553,132.149373
Tokuyama,Sanyo_Shinkansen,1975,Yamaguchi,982.7,JR_West,34.0756731,131.8252971
Shin-Yamaguchi,Sanyo_Shinkansen,1975,Yamaguchi,1027.0,JR_West,34.093533,131.3963755
Asa,Sanyo_Shinkansen,1999,Yamaguchi,1062.1,JR_West,34.05361250000001,131.1643467
Shin-Shimonoseki,Sanyo_Shinkansen,1975,Yamaguchi,1088.7,JR_West,34.0069198,130.949042
Kokura,Sanyo_Shinkansen,1975,Fukuoka,1107.7,JR_West,33.8834976,130.8751773
Hakata,"Sanyo_Shinkansen,Kyushu_Shinkansen",1975,Fukuoka,1174.9,JR_West,33.5903415,130.4414465
Tokyo,Tohoku_Shinkansen,1991,Tokyo,0.0,JR_East,35.6761919,139.6503106
Ueno,Tohoku_Shinkansen,1985,Tokyo,3.6,JR_East,35.7087296,139.7741538
Omiya,"Tohoku_Shinkansen,Joetsu_Shinkansen",1982,Saitama,30.3,JR_East,35.908649,139.6248081
Oyama,Tohoku_Shinkansen,1982,Tochigi,80.6,JR_East,36.3146653,139.8001493
Utsunomiya,Tohoku_Shinkansen,1982,Tochigi,109.5,JR_East,36.5550745,139.8826209
Nasushiobara,Tohoku_Shinkansen,1982,Tochigi,157.8,JR_East,36.9680141,140.0601322
Shin-Shirakawa,Tohoku_Shinkansen,1982,Fukushima,185.4,JR_East,37.1214162,140.1922598
Koriyama,Tohoku_Shinkansen,1982,Fukushima,226.7,JR_East,37.40047759999999,140.3596822
Fukushima,"Tohoku_Shinkansen,Yamagata_Shinkansen",1982,Fukushima,272.8,JR_East,37.7607991,140.4747856
Shiroishi-Zao,Tohoku_Shinkansen,1982,Miyagi,306.8,JR_East,38.0980663,140.6587766
Sendai,Tohoku_Shinkansen,1982,Miyagi,351.8,JR_East,38.268195,140.869418
Furukawa,Tohoku_Shinkansen,1982,Miyagi,395.0,JR_East,38.5826477,140.9420148
Kurikoma-Kogen,Tohoku_Shinkansen,1990,Miyagi,416.2,JR_East,38.630612,141.1193048
Ichinoseki,Tohoku_Shinkansen,1982,Iwate,445.1,JR_East,38.934703,141.1268764
Mizusawa-Esashi,Tohoku_Shinkansen,1985,Iwate,470.1,JR_East,39.5832989,141.2534574
Kitakami,Tohoku_Shinkansen,1982,Iwate,487.5,JR_East,39.2867738,141.1131535
Shin-Hanamaki,Tohoku_Shinkansen,1985,Iwate,500.0,JR_East,39.3886253,141.1168998
Morioka,"Tohoku_Shinkansen,Akita_Shinkansen",1982,Iwate,535.3,JR_East,39.7019558,141.1543303
iwate-Numakunai,Tohoku_Shinkansen,2002,Iwate,566.4,JR_East,40.0218877,141.2746722
Ninohe,Tohoku_Shinkansen,2002,Iwate,601.0,JR_East,40.2711044,141.3050625
Hachinohe,Tohoku_Shinkansen,2002,Aomori,631.9,JR_East,40.5122055,141.4882743
Shichinohe-Towada,Tohoku_Shinkansen,2010,Aomori,668.0,JR_East,40.6970611,141.1532411
Shin-Aomori,"Tohoku_Shinkansen,Hokkaido_Shinkansen",2010,Aomori,713.7,JR_East,40.8222197,140.7473524
Kumagaya,Joetsu_Shinkansen,1982,Saitama,64.7,JR_East,36.1471963,139.3889796
